name,sector_name,industry_name,country_id,country_name
ALD Automotive,Transportation and Logistics,Vehicle Leasing & Rental,118,France
ALISON,Education,Open Courseware Providers,110,Ireland
AM Best,Banking & Financial Services,Credit Rating Agencies,151,United States
AM General,Aerospace and Defense,Military Vehicles & Tanks,151,United States
AMBOSS,Healthcare and Pharmaceuticals,Medical Education,119,Germany
AMD,Technology,Supercomputing,151,United States
AMD,Technology,Semiconductors,151,United States
AMS Vending,Retail,Vending Machines,151,United States
ANA (All Nippon Airways),Travel and Tourism,Airlines,100,Japan
ANA Cargo,Transportation and Logistics,Air Cargo,100,Japan
ANA Wings,Transportation and Logistics,Airline Passenger Services,100,Japan
ANI (India),Media and Entertainment,News Agencies,81,India
ANZ Trade Finance,Banking & Financial Services,Trade Finance,185,Australia
AP4 Sweden,Banking & Financial Services,Pension Funds,114,Sweden
APA Agency,Media and Entertainment,Talent Agencies,151,United States
APCO Worldwide,Professional Services,Public Relations,151,United States
API Abroad (Academic Programs International),Education,Study Abroad Services,151,United States
APM Terminals,Transportation and Logistics,Port Operations,106,Denmark
APT Satellite,Aerospace and Defense,Satellite Services,98,China
APTIV,Automobile,Auto Parts Manufacturing,115,United Kingdom
APi Group Corporation,Construction and Engineering,Construction Services,151,United States
APi Group Specialty,Construction and Engineering,Specialty Contracting,151,United States
AQR Capital Management,Banking & Financial Services,Hedge Funds,151,United States
ARB Corporation,Automobile,Off-Road Vehicles,185,Australia
ARC Ratings,Banking & Financial Services,Credit Rating Agencies,144,Portugal
ARD (Germany),Media and Entertainment,Television Broadcasting,119,Germany
ARD Radio (Germany),Media and Entertainment,Radio Broadcasting,119,Germany
ARM Mbed,Technology,IoT Devices,115,United Kingdom
ARMtech Insurance,Insurance,Crop Insurance,151,United States
ARUP Sustainability,Construction and Engineering,Green Building Consulting,115,United Kingdom
ASA International,Banking & Financial Services,Microfinance,123,Netherlands
ASE Technology Holding,Manufacturing,Semiconductor Manufacturing,105,Taiwan
ASG Technologies,Technology,Mainframe Systems,151,United States
ASGC Construction,Construction and Engineering,Commercial Construction,71,United Arab Emirates
ASGN Incorporated,Professional Services,Outsourcing & Staffing,151,United States
ASML,Technology,Semiconductors,123,Netherlands
ASN (Alcatel Submarine Networks),Telecommunications and ICT,Submarine Cables,118,France
ASOS,Retail,Fast Fashion,115,United Kingdom
ASOS,Retail,E-commerce Marketplaces,115,United Kingdom
ASPCA Pet Insurance,Insurance,Pet Insurance,151,United States
ASSI Surgical Instruments,Healthcare and Pharmaceuticals,Surgical Instruments,151,United States
AST SpaceMobile,Telecommunications and ICT,Satellite Communications,151,United States
ASUS ROG,Technology,Gaming Consoles,105,Taiwan
ASX Australia,Banking & Financial Services,Stock Exchanges,185,Australia
AT Kearney,Professional Services,Management Consulting,151,United States
AT&T,Telecommunications and ICT,Wireless Carriers,151,United States
ATC Telecom Infrastructure,Telecommunications and ICT,Telecom Tower Management,151,United States
ATI Demolition,Construction and Engineering,Demolition & Decommissioning,151,United States
ATP Denmark,Banking & Financial Services,Pension Funds,106,Denmark
ATP Tour,Media and Entertainment,Sports Leagues,115,United Kingdom
ATR Aircraft,Aerospace and Defense,Commercial Aircraft Manufacturing,118,France
AVIC (Aviation Industry Corp of China),Manufacturing,Aerospace & Defense Manufacturing,98,China
AVIC (Aviation Industry Corp),Aerospace and Defense,Military Aircraft Manufacturing,98,China
AXA,Banking & Financial Services,Insurance Underwriting,118,France
AXA Agriculture Insurance,Agriculture,Agricultural Finance & Insurance,118,France
AXA Assistance,Travel and Tourism,Travel Insurance Providers,118,France
AXA Assistance,Insurance,Travel Insurance,118,France
AXA Climate,Insurance,Parametric Insurance,118,France
AXA Global Healthcare,Healthcare and Pharmaceuticals,Health Insurance,118,France
AXA Investment Managers,Banking & Financial Services,Asset Management,118,France
AXA Schengen,Travel and Tourism,Travel Insurance Providers,118,France
AXA XL,Insurance,Cyber Insurance,118,France
AXA XL Marine,Insurance,Marine Insurance,118,France
AXIS Capital,Insurance,Reinsurance,199,Bermuda
AYANEO,Technology,Gaming Consoles,98,China
AbbVie Inc.,Manufacturing,Pharmaceutical Manufacturing,151,United States
Abbott FreeStyle Libre,Healthcare and Pharmaceuticals,Wearable Health Tech,151,United States
Abbott Laboratories,Manufacturing,Medical Devices,151,United States
Abbott Nutrition,Food and Beverage,Baby Food,151,United States
Abbott Nutrition,Food and Beverage,Health & Functional Foods,151,United States
Abengoa Bioenergy,Energy and Utilities,Biofuels,148,Spain
Abercrombie & Kent,Travel and Tourism,Luxury Travel,151,United States
Abercrombie & Kent,Travel and Tourism,Tour Operators,151,United States
Abercrombie & Kent Adventure,Travel and Tourism,Adventure Tourism,151,United States
Ability Dynamics,Healthcare and Pharmaceuticals,Prosthetics,151,United States
Abode,Real Estate,Smart Home Tech,151,United States
Academic Earth,Education,Open Courseware Providers,151,United States
Academic Partnerships,Professional Services,Education Consulting,151,United States
Academic Search,Education,Educational Consulting,151,United States
Academy Mortgage,Banking & Financial Services,Mortgage Lending,151,United States
Academy Sports + Outdoors,Retail,Sporting Goods,151,United States
Accel,Banking & Financial Services,Venture Capital,151,United States
Accelink Technology,Telecommunications and ICT,Fiber Optics,98,China
Accenture,Professional Services,IT Consulting,110,Ireland
Accenture,Telecommunications and ICT,Telecom Consulting,151,United States
Accenture Federal,Aerospace and Defense,Defense IT & Cybersecurity,151,United States
Accenture Interactive,Media and Entertainment,Advertising & Marketing,110,Ireland
Accenture Interactive,Professional Services,Marketing & Advertising,110,Ireland
Accenture Supply Chain,Professional Services,Logistics & Supply Chain Consulting,110,Ireland
Accepta Water Treatment,Chemicals,Water Treatment Chemicals,115,United Kingdom
Access Intelligence,Professional Services,Event Management,115,United Kingdom
Access by BMW,Automobile,Car Subscription Services,119,Germany
Accion,Banking & Financial Services,Microfinance,151,United States
Acciona Concesiones,Construction and Engineering,Infrastructure Development,148,Spain
Acciona Construcción,Construction and Engineering,Civil Engineering,148,Spain
Acciona Energía,Energy and Utilities,Wind Farm Operations,148,Spain
Acciona Energía,Energy and Utilities,Renewable Energy,148,Spain
Accor,Travel and Tourism,Hotels & Resorts,118,France
Accor Management,Travel and Tourism,Hospitality Management,118,France
Accruent,Real Estate,Facility Management,151,United States
Accuray,Healthcare and Pharmaceuticals,Medical Robotics,151,United States
Aceites Borges Pont,Food and Beverage,Oils & Fats,148,Spain
Acella Pharmaceuticals,Healthcare and Pharmaceuticals,Generic Drugs,151,United States
Acer,Technology,Computer Peripherals,105,Taiwan
Acibadem Hospitals,Healthcare and Pharmaceuticals,Health Tourism,70,Turkey
Aclara Technologies,Energy and Utilities,Smart Grids,151,United States
Acrisure,Insurance,Brokerage Networks,151,United States
Actility,Telecommunications and ICT,IoT Solutions,118,France
Action,Retail,Discount Stores,123,Netherlands
Activ Surgical,Healthcare and Pharmaceuticals,Medical Robotics,151,United States
Activision Blizzard,Media and Entertainment,Video Games,151,United States
Acuity Brands,Energy and Utilities,Energy Efficiency,151,United States
Acumen Academy,Education,Educational Nonprofits,151,United States
Acura (Honda),Automobile,Luxury Vehicles,100,Japan
Adacel Technologies,Aerospace and Defense,Air Traffic Management Systems,185,Australia
Adafruit Industries,Education,STEM Education,151,United States
Adani Airports,Transportation and Logistics,Airport Operations,81,India
Adani Airports,Travel and Tourism,Airport Operators,81,India
Adani Infrastructure,Construction and Engineering,Infrastructure Development,81,India
Adani Solar,Energy and Utilities,Solar Panel Manufacturing,81,India
Adaptive Biotechnologies,Healthcare and Pharmaceuticals,Diagnostic Labs,151,United States
Adecco Group,Professional Services,Human Resources Consulting,124,Switzerland
Adecco Group,Professional Services,Outsourcing & Staffing,124,Switzerland
Adecoagro,Agriculture,Agricultural Real Estate,121,Luxembourg
Aden Group,Real Estate,Property Management,98,China
Adidas,Retail,Sporting Goods,119,Germany
Adidas AG,Manufacturing,Apparel & Footwear,119,Germany
Adient,Automobile,Auto Parts Manufacturing,151,United States
Aditya Birla Chemicals,Chemicals,Water Treatment Chemicals,81,India
Adlibris,Retail,Bookstores,114,Sweden
Admiral Markets,Banking & Financial Services,Forex Services,107,Estonia
Adnoc UAE,Transportation and Logistics,Pipeline Transport,71,United Arab Emirates
Adobe,Technology,Enterprise Software,151,United States
Adobe Captivate Prime,Education,Learning Management Systems,151,United States
Advance Auto Parts,Retail,Automotive Parts Retail,151,United States
Advanta Seeds (UPL),Agriculture,Seeds & Genetics,81,India
Advantage Rent a Car,Automobile,Car Rental Services,151,United States
Advent International,Banking & Financial Services,Private Equity,151,United States
Adventure Alternative,Travel and Tourism,Adventure Tourism,115,United Kingdom
Adventure Consultants,Travel and Tourism,Adventure Tourism,186,New Zealand
Advisian (Worley),Professional Services,Environmental Consulting,185,Australia
Adyen,Banking & Financial Services,FinTech,123,Netherlands
Adyen,Banking & Financial Services,Payment Processing,123,Netherlands
Aecom Architecture,Construction and Engineering,Architectural Services,151,United States
Aedas,Construction and Engineering,Architectural Services,99,Hong Kong
Aegis Living,Real Estate,Senior Living Facilities,151,United States
Aegon,Insurance,Life Insurance,123,Netherlands
Aeon Group,Retail,Grocery Chains,100,Japan
Aer Rianta International,Retail,Duty-Free Shops,110,Ireland
AeroFarms,Agriculture,Sustainable Agriculture,151,United States
AeroVironment,Aerospace and Defense,Unmanned Aerial Vehicles (UAVs),151,United States
Aerojet Rocketdyne,Aerospace and Defense,Missile & Defense Systems,151,United States
Aeropostale,Retail,Fast Fashion,151,United States
Aethon (ST Engineering),Technology,Robotics,151,United States
Aetna (CVS Health),Healthcare and Pharmaceuticals,Health Insurance,151,United States
Aetna (CVS Health),Insurance,Health Insurance,151,United States
Aetna International,Healthcare and Pharmaceuticals,Health Insurance,151,United States
Affinity Petcare,Food and Beverage,Pet Food,148,Spain
Affirm,Banking & Financial Services,Consumer Finance,151,United States
Affirm,Banking & Financial Services,FinTech,151,United States
Affirmed Networks (Microsoft),Telecommunications and ICT,5G Infrastructure,151,United States
Aflac,Insurance,Disability Insurance,151,United States
Afreximbank Trade Finance,Banking & Financial Services,Trade Finance,2,Egypt
Afterpay,Banking & Financial Services,Consumer Finance,185,Australia
Ag Leader Technology,Agriculture,Farm Management Software,151,United States
Ag Processing Inc (AGP),Agriculture,Agricultural Cooperatives,151,United States
AgBiome,Agriculture,Agricultural Biotechnology,151,United States
AgEagle Aerial Systems,Agriculture,Farm Management Software,151,United States
AgFirst Farm Credit Bank,Agriculture,Agricultural Finance & Insurance,151,United States
AgJunction,Agriculture,Farm Management Software,151,United States
AgReliant Genetics,Agriculture,Seeds & Genetics,151,United States
AgResearch New Zealand,Agriculture,Agricultural Research,186,New Zealand
AgReserves Inc.,Agriculture,Agricultural Real Estate,151,United States
AgSecur,Insurance,Crop Insurance,118,France
Agara,Telecommunications and ICT,Cloud Telephony,81,India
Agence France-Presse (AFP),Media and Entertainment,News Agencies,118,France
Agfa-Gevaert,Healthcare and Pharmaceuticals,Medical Imaging,117,Belgium
Agility Defense,Aerospace and Defense,Defense Logistics & Support,63,Kuwait
Agility Logistics,Transportation and Logistics,Third-Party Logistics (3PL),63,Kuwait
Agility Logistics,Transportation and Logistics,Freight Forwarding,63,Kuwait
Agoda,Travel and Tourism,Online Travel Agencies,94,Singapore
Agrana Group,Agriculture,Agricultural Cooperatives,116,Austria
Agri Terra,Agriculture,Agricultural Real Estate,54,South Africa
AgriCapital Corporation,Agriculture,Agricultural Real Estate,185,Australia
AgriFORCE Growing Systems,Agriculture,Sustainable Agriculture,150,Canada
AgriInvest Europe,Agriculture,Agricultural Real Estate,115,United Kingdom
AgriLand,Real Estate,Land Acquisition,151,United States
AgriSompo (Sompo),Insurance,Crop Insurance,151,United States
Agria Pet Insurance,Insurance,Pet Insurance,114,Sweden
Agricool,Agriculture,Sustainable Agriculture,118,France
Agriculture Insurance Company of India,Agriculture,Agricultural Finance & Insurance,81,India
Agriculture and Agri-Food Canada,Agriculture,Agricultural Research,150,Canada
Agrilibrium,Agriculture,Farm Management Software,54,South Africa
Agrium (Nutrien),Agriculture,Fertilizers & Nutrients,150,Canada
Agrivi,Agriculture,Farm Management Software,115,United Kingdom
AgroGeneration,Agriculture,Agricultural Real Estate,118,France
Agroasemex,Insurance,Crop Insurance,157,Mexico
Agrodrip,Agriculture,Irrigation Systems,148,Spain
Agrolimen SA,Food and Beverage,Pet Food,148,Spain
Agropur,Agriculture,Agricultural Cooperatives,150,Canada
Agworld,Agriculture,Farm Management Software,185,Australia
Ahold Delhaize,Retail,Grocery Chains,123,Netherlands
Air Canada,Travel and Tourism,Airlines,150,Canada
Air Canada,Transportation and Logistics,Airline Passenger Services,150,Canada
Air China,Travel and Tourism,Airlines,98,China
Air China,Transportation and Logistics,Airline Passenger Services,98,China
Air France KLM MRO,Aerospace and Defense,MRO Services,118,France
Air France-KLM,Travel and Tourism,Airlines,118,France
Air France-KLM,Transportation and Logistics,Airline Passenger Services,118,France
Air France-KLM Cargo,Transportation and Logistics,Air Cargo,118,France
Air Liquide,Manufacturing,Chemical Manufacturing,118,France
Air Liquide,Chemicals,Industrial Gases,118,France
Air Products & Chemicals,Chemicals,Industrial Gases,151,United States
Air Products Electronics,Chemicals,Electronic Chemicals,151,United States
Air Water Inc.,Chemicals,Industrial Gases,100,Japan
AirIQ,Automobile,Vehicle Telematics,150,Canada
AirTrunk,Telecommunications and ICT,Data Centers,185,Australia
Airbiquity,Automobile,Automotive Software,151,United States
Airbnb,Travel and Tourism,Vacation Rentals,151,United States
Airbnb,Real Estate,Vacation Rentals,151,United States
Airbus,Aerospace and Defense,Commercial Aircraft Manufacturing,123,Netherlands
Airbus,Manufacturing,Aerospace & Defense Manufacturing,123,Netherlands
Airbus Defence Support,Aerospace and Defense,Defense Logistics & Support,123,Netherlands
Airbus Defence UAVs,Aerospace and Defense,Unmanned Aerial Vehicles (UAVs),123,Netherlands
Airbus Defence and Space,Aerospace and Defense,Military Aircraft Manufacturing,123,Netherlands
Airbus Defence and Space,Aerospace and Defense,Spacecraft & Satellite Manufacturing,123,Netherlands
Airbus Services,Aerospace and Defense,MRO Services,123,Netherlands
Aircall,Telecommunications and ICT,Cloud Telephony,118,France
Airport Terminal Services,Aerospace and Defense,Airport Infrastructure & Services,151,United States
Airspan Networks,Telecommunications and ICT,Telecom Equipment,151,United States
Airspan Networks,Telecommunications and ICT,5G Infrastructure,151,United States
Aisin Seiki Co.,Automobile,Auto Parts Manufacturing,100,Japan
Ajinomoto Frozen Foods,Food and Beverage,Frozen Foods,100,Japan
Ajinomoto Group,Chemicals,Food Additives,100,Japan
Akademibokhandeln,Retail,Bookstores,114,Sweden
Akamai Technologies,Telecommunications and ICT,Network Security,151,United States
Aker Carbon Capture,Energy and Utilities,Carbon Capture,113,Norway
AkzoNobel,Manufacturing,Chemical Manufacturing,123,Netherlands
AkzoNobel Paints,Chemicals,Paints & Coatings,123,Netherlands
AkzoNobel Specialty Chemicals,Chemicals,Specialty Chemicals,123,Netherlands
Al Jazeera Media Network,Media and Entertainment,News Agencies,67,Qatar
Al Majmoua,Banking & Financial Services,Microfinance,64,Lebanon
Alamo Rent a Car,Automobile,Car Rental Services,151,United States
Alan,Insurance,InsurTech Platforms,118,France
Alarm.com,Healthcare and Pharmaceuticals,Elderly Care Tech,151,United States
Alaska Airlines,Transportation and Logistics,Airline Passenger Services,151,United States
Alation,Technology,Data Analytics,151,United States
Albemarle Corporation,Chemicals,Specialty Chemicals,151,United States
Albertsons,Retail,Grocery Chains,151,United States
Albertsons Companies,Healthcare and Pharmaceuticals,Pharmacy Chains,151,United States
Alcatel-Lucent Enterprise,Telecommunications and ICT,Unified Communications,118,France
Alcoa Aerospace,Aerospace and Defense,Aerospace Structures & Composites,151,United States
Alcon Inc.,Manufacturing,Medical Devices,124,Switzerland
Alconox Inc.,Chemicals,Industrial Cleaners,151,United States
Aldi,Retail,Grocery Chains,119,Germany
Alera Group,Insurance,Brokerage Networks,151,United States
Alere (Abbott),Healthcare and Pharmaceuticals,Diagnostic Labs,151,United States
Alexandria Real Estate,Real Estate,REITs,151,United States
Alexion Pharmaceuticals,Healthcare and Pharmaceuticals,Biopharmaceuticals,151,United States
Alfa Romeo,Automobile,Luxury Vehicles,140,Italy
Alfen,Automobile,Charging Infrastructure,123,Netherlands
Alibaba Cainiao Network,Transportation and Logistics,E-commerce Logistics,98,China
Alibaba Digital Media,Media and Entertainment,Media Conglomerates,98,China
Alibaba Group,Retail,E-commerce Marketplaces,98,China
Alibaba Quantum Lab,Technology,Quantum Computing,98,China
Alienware (Dell),Technology,Gaming Consoles,151,United States
Alignment Healthcare,Insurance,Health Insurance,151,United States
Alison,Education,Online Learning Platforms,110,Ireland
AlixPartners Operations,Professional Services,Logistics & Supply Chain Consulting,151,United States
All Nippon Airways (ANA),Transportation and Logistics,Airline Passenger Services,100,Japan
AllLife,Insurance,Microinsurance,54,South Africa
AllWays Insurance Partners,Insurance,Brokerage Networks,151,United States
Alleghany Corporation,Insurance,Liability Insurance,151,United States
Allegis Group,Professional Services,Human Resources Consulting,151,United States
Allegis Group,Professional Services,Outsourcing & Staffing,151,United States
Allen & Overy,Professional Services,Legal Services,115,United Kingdom
Allen & Overy,Real Estate,Real Estate Law,115,United Kingdom
AllenComm,Education,Corporate Training,151,United States
Alliance Grain Traders,Agriculture,Agricultural Logistics & Storage,150,Canada
AllianceBernstein,Banking & Financial Services,Asset Management,151,United States
Alliant Insurance Services,Insurance,Brokerage Networks,151,United States
Alliant National Title,Insurance,Title Insurance,151,United States
Allianz,Banking & Financial Services,Insurance Underwriting,119,Germany
Allianz Agricultural Insurance,Agriculture,Agricultural Finance & Insurance,119,Germany
Allianz Care,Healthcare and Pharmaceuticals,Health Insurance,119,Germany
Allianz Global Marine,Insurance,Marine Insurance,119,Germany
Allianz Life,Insurance,Annuities,151,United States
Allianz Travel,Insurance,Travel Insurance,119,Germany
Allianz Travel Insurance,Travel and Tourism,Travel Insurance Providers,119,Germany
Allison+Partners,Professional Services,Public Relations,151,United States
Allstate,Insurance,Auto Insurance,151,United States
Allstate,Insurance,Property Insurance,151,United States
Allstate Claims,Insurance,Claims Management,151,United States
Alltech Inc.,Food and Beverage,Animal Feed,151,United States
Alltrue,Retail,Subscription Boxes,151,United States
Allucent,Healthcare and Pharmaceuticals,Clinical Research,151,United States
Ally Financial,Banking & Financial Services,Consumer Finance,151,United States
Alma SIS,Education,School Management Software,151,United States
Almac Group,Chemicals,Pharmaceutical Chemicals,115,United Kingdom
Alnylam Pharmaceuticals,Healthcare and Pharmaceuticals,Biopharmaceuticals,151,United States
Alpari,Banking & Financial Services,Forex Services,132,Russia
Alstom,Energy and Utilities,Power Plant Engineering,118,France
Altair,Telecommunications and ICT,IoT Solutions,151,United States
Alterra Power (Innergex),Energy and Utilities,Geothermal Plants,150,Canada
Alteryx,Technology,Data Analytics,151,United States
Altice USA,Telecommunications and ICT,Broadband Providers,151,United States
Altiostar (Rakuten),Telecommunications and ICT,5G Infrastructure,151,United States
Altman Solon,Telecommunications and ICT,Telecom Consulting,151,United States
Altus Group,Professional Services,Real Estate Consulting,150,Canada
Altus Group,Real Estate,Property Valuation,150,Canada
Alvarez & Marsal,Professional Services,Management Consulting,151,United States
Alvogen,Healthcare and Pharmaceuticals,Generic Drugs,109,Iceland
AmTrust Financial,Insurance,Liability Insurance,151,United States
AmTrust Financial Services,Insurance,Claims Management,151,United States
AmTrust Title,Insurance,Title Insurance,151,United States
Amadeus IT Group,Travel and Tourism,Travel Technology,148,Spain
Aman Management,Travel and Tourism,Hospitality Management,124,Switzerland
Aman Resorts,Travel and Tourism,Luxury Travel,124,Switzerland
Amazfit (Zepp Health),Technology,Wearable Tech,98,China
Amazon,Telecommunications and ICT,Submarine Cables,151,United States
Amazon,Retail,E-commerce Marketplaces,151,United States
Amazon (Amazon Linux),Technology,Operating Systems,151,United States
Amazon AWS IoT Greengrass,Technology,Edge Computing,151,United States
Amazon Alexa Smart Home,Real Estate,Smart Home Tech,151,United States
Amazon Braket,Technology,Quantum Computing,151,United States
Amazon Connect,Telecommunications and ICT,Contact Center Solutions,151,United States
Amazon Logistics,Transportation and Logistics,E-commerce Logistics,151,United States
Amazon Prime Video,Media and Entertainment,Video Streaming,151,United States
Amazone Group,Agriculture,Agricultural Equipment,119,Germany
Amec Foster Wheeler (Wood Group),Construction and Engineering,Industrial Construction,115,United Kingdom
Ameco Beijing,Aerospace and Defense,MRO Services,98,China
AmeriSave Mortgage,Real Estate,Mortgage Brokering,151,United States
America Movil,Telecommunications and ICT,Wireless Carriers,157,Mexico
American Airlines,Transportation and Logistics,Airline Passenger Services,151,United States
American Airlines,Travel and Tourism,Airlines,151,United States
American Club,Insurance,Marine Insurance,151,United States
American Electric Power,Energy and Utilities,Electricity Distribution,151,United States
American Express,Banking & Financial Services,Credit Cards,151,United States
American Express,Banking & Financial Services,Consumer Finance,151,United States
American Family Insurance,Insurance,Property Insurance,151,United States
American Family Insurance,Insurance,Auto Insurance,151,United States
American Farmland Company,Agriculture,Agricultural Real Estate,151,United States
American Financial Group (Great American),Insurance,Crop Insurance,151,United States
American States Water,Energy and Utilities,Water Utilities,151,United States
American Sugar Refining (ASR Group),Food and Beverage,Sugar & Sweeteners,151,United States
American Tower,Telecommunications and ICT,Telecom Tower Management,151,United States
American Tower Corp,Real Estate,REITs,151,United States
American Vanguard Corporation,Agriculture,Pesticides & Herbicides,151,United States
American Water Works,Energy and Utilities,Water Utilities,151,United States
American Well,Healthcare and Pharmaceuticals,Telehealth,151,United States
Americo Financial,Insurance,Disability Insurance,151,United States
Ameriprise Financial,Insurance,Annuities,151,United States
