id,name,country_id,country_name
12266,GE Aviation Systems,151,United States
12267,BAE Systems,115,United Kingdom
12268,BAE Systems Digital,115,United Kingdom
12269,L3Harris Technologies,151,United States
12270,GKN Aerospace,115,United Kingdom
12271,Babcock International,115,United Kingdom
12272,KBR Government Solutions,151,United States
12273,SAIC,151,United States
12274,Alcoa Aerospace,151,United States
12275,KAI (Korea Aerospace Industries),104,South Korea
12276,Lockheed Martin Firearms,151,United States
12277,BAE Systems Electronics,115,United Kingdom
12278,Safran Electronics,118,France
12279,Thales Avionics,118,France
12280,Honeywell Aerospace,151,United States
12281,Senior plc,115,United Kingdom
12282,Spirit AeroSystems,151,United States
12283,Spirit AeroSystems,151,United States
12284,Northrop Grumman,151,United States
12285,HAL (Hindustan Aeronautics Ltd),81,India
12286,TAI (Turkish Aerospace),70,Turkey
12287,Elbit Systems,61,Israel
12288,Israel Aerospace Industries,61,Israel
12289,AM General,151,United States
12290,Parker Aerospace,151,United States
12291,Raytheon Intelligence,151,United States
12292,Collins Aerospace,151,United States
12293,Collins Aerospace,151,United States
12294,Collins Aerospace,151,United States
12295,Lockheed Martin Rotary,151,United States
12296,ManTech,151,United States
12297,Oshkosh Defense,151,United States
12298,AECOM Defense,151,United States
12299,Hexcel Corporation,151,United States
12300,Dassault Aviation,118,France
12301,Embraer Defense & Security,175,Brazil
12302,Hanwha Defense,104,South Korea
12303,Israel Aerospace Industries,61,Israel
12304,Lockheed Martin,151,United States
12305,Mitsubishi Heavy Industries,100,Japan
12306,Boeing Defense,151,United States
12307,General Atomics Aeronautical,151,United States
12308,AAR Corp,151,United States
12309,MTU Aero Engines,119,Germany
12310,Diehl Defence,119,Germany
12311,Raytheon Weapons,151,United States
12312,Kongsberg Defence & Aerospace,113,Norway
12313,Kongsberg Gruppen,113,Norway
12314,Cobham Avionics,115,United Kingdom
12315,Poongsan Corporation,104,South Korea
12316,Daewoo Shipbuilding,104,South Korea
12317,Hyundai Heavy Industries,104,South Korea
12318,Vista Outdoor,151,United States
12319,Garden Reach Shipbuilders,81,India
12320,Raytheon UAV Systems,151,United States
12321,Rolls-Royce plc,115,United Kingdom
12322,Tactical Missiles Corporation,132,Russia
12323,Honeywell Aerospace,151,United States
12324,Aselsan,70,Turkey
12325,Hensoldt AG,119,Germany
12326,LIG Nex1,104,South Korea
12327,Raytheon Avionics,151,United States
12328,SAAB Electronic Defence,114,Sweden
12329,Saab,114,Sweden
12330,Cobham Advanced Electronic Solutions,115,United Kingdom
12331,Nammo,113,Norway
12332,Roketsan,70,Turkey
12333,Mitsubishi Electric,100,Japan
12334,Ball Aerospace,151,United States
12335,Maxar Technologies,151,United States
12336,Maxar Technologies,151,United States
12337,MDA Ltd,150,Canada
12338,Northrop Grumman,151,United States
12339,CASC (China Aerospace),98,China
12340,CASC Launch,98,China
12341,SpaceX,151,United States
12342,SpaceX,151,United States
12343,Insitu,151,United States
12344,Terma Group,106,Denmark
12345,FLIR Systems,151,United States
12346,Meggitt Avionics,115,United Kingdom
12347,Teledyne Technologies,151,United States
12348,Textron Systems,151,United States
12349,Huntington Ingalls Industries,151,United States
12350,Boeing Training Services,151,United States
12351,Saab Training,114,Sweden
12352,Planet Labs,151,United States
12353,Planet Labs,151,United States
12354,Spire Global,151,United States
12355,Spire Global,151,United States
12356,Ruag Group,124,Switzerland
12357,L3Harris Technologies,151,United States
12358,IHI Corporation,100,Japan
12359,RKK Energia,132,Russia
12360,Airbus Defence and Space,123,Netherlands
12361,Airbus Defence and Space,123,Netherlands
12362,Israel Aerospace Industries,61,Israel
12363,OHB SE,119,Germany
12364,Thales Alenia Space,118,France
12365,Blue Origin,151,United States
12366,Blue Origin,151,United States
12367,Solvay Composites,117,Belgium
12368,SAAB Kockums,114,Sweden
12369,Kaman Composites,151,United States
12370,United Shipbuilding Corp,132,Russia
12371,BAE Systems Maritime,115,United Kingdom
12372,Hanwha Ocean,104,South Korea
12373,Naval Group,118,France
12374,Meggitt,115,United Kingdom
12375,Agility Defense,63,Kuwait
12376,Boeing Global Services,151,United States
12377,CAE Defense Services,150,Canada
12378,DynCorp International,151,United States
12379,General Dynamics Logistics,151,United States
12380,Lockheed Martin Logistics,151,United States
12381,Northrop Grumman Logistics,151,United States
12382,PAE,151,United States
12383,VT Systems,151,United States
12384,Thyssenkrupp Marine Systems,119,Germany
12385,General Dynamics Ordnance,151,United States
12386,BAE Systems Land UK,115,United Kingdom
12387,General Dynamics Land Systems,151,United States
12388,Rheinmetall Land Systems,119,Germany
12389,Ukroboronprom,134,Ukraine
12390,Pilatus Aircraft,124,Switzerland
12391,CAE Inc.,150,Canada
12392,Indra Training,148,Spain
12393,Rheinmetall Simulation,119,Germany
12394,Thales Training,118,France
12395,FreeFlight Systems,151,United States
12396,Elbit Systems,61,Israel
12397,Denel Dynamics,54,South Africa
12398,Rheinmetall AG,119,Germany
12399,PO Sevmash,132,Russia
12400,Damen Shipyards,123,Netherlands
12401,Honeywell Defense Services,151,United States
12402,Astra,151,United States
12403,Aviadvigatel,132,Russia
12404,Elbit Systems Training,61,Israel
12405,IMI Systems (Elbit),61,Israel
12406,Firefly Aerospace,151,United States
12407,JAXA Launch,100,Japan
12408,John Cockerill Defense,117,Belgium
12409,Makeyev Design Bureau,132,Russia
12410,StandardAero,151,United States
12411,Virgin Orbit,151,United States
12412,Virgin Orbit,151,United States
12413,AAI (India),81,India
12414,Adacel Technologies,185,Australia
12415,AECC (Aero Engine Corp),98,China
12416,Air France KLM MRO,118,France
12417,Airbus,123,Netherlands
12418,Airbus Defence UAVs,123,Netherlands
12419,Airbus Services,123,Netherlands
12420,Airbus Defence Support,123,Netherlands
12421,Incheon Airport,104,South Korea
12422,Ameco Beijing,98,China
12423,Antonov,134,Ukraine
12424,APT Satellite,98,China
12425,Arianespace,118,France
12426,Arquus,118,France
12427,Ashok Leyland Defence,81,India
12428,AsiaSat,99,Hong Kong
12429,ATR Aircraft,118,France
12430,Airport Terminal Services,151,United States
12431,Austal,185,Australia
12432,Avia Solutions Group,112,Lithuania
12433,Avic Aircraft,98,China
12434,AVIC (Aviation Industry Corp),98,China
12435,Avidyne Corporation,151,United States
12436,AeroVironment,151,United States
12437,Babcock Support,115,United Kingdom
12438,BAE Systems Autonomous,115,United Kingdom
12439,BAE Systems Platforms,115,United Kingdom
12440,BAE Systems Training,115,United Kingdom
12441,BAE Systems Support,115,United Kingdom
12442,BAE Systems Weapons,115,United Kingdom
12443,Barco Simulation,117,Belgium
12444,BBA Aviation,115,United Kingdom
12445,Beijing Capital Airport,98,China
12446,Beretta Holding,140,Italy
12447,Boeing,151,United States
12448,Bombardier,150,Canada
12449,BrahMos Aerospace,81,India
12450,CBC Global Ammunition,175,Brazil
12451,Singapore Changi Airport,94,Singapore
12452,Cirrus Aircraft,151,United States
12453,COMAC,98,China
12454,Constellium,123,Netherlands
12455,Copenhagen Airports,106,Denmark
12456,CrowdStrike,151,United States
12457,CyberArk,151,United States
12458,Darktrace,115,United Kingdom
12459,De Havilland Canada,150,Canada
12460,Delta TechOps,151,United States
12461,Denel SOC Ltd,54,South Africa
12462,DJI,98,China
12463,dnata,71,United Arab Emirates
12464,DXC Technology,151,United States
12465,EchoStar,151,United States
12466,Embraer,175,Brazil
12467,Eurosam,118,France
12468,Eutelsat,118,France
12469,Exos Aerospace,151,United States
12470,FireEye,151,United States
12471,FlightSafety International,151,United States
12472,FN Herstal,117,Belgium
12473,Fraport AG,119,Germany
12474,GE Aviation,151,United States
12475,GE Aviation Services,151,United States
12476,Globalstar,151,United States
12477,Gripen International,114,Sweden
12478,Gulfstream Aerospace,151,United States
12479,HAECO,99,Hong Kong
12480,Heathrow Airport Holdings,115,United Kingdom
12481,Heckler & Koch,119,Germany
12482,Hisdesat,148,Spain
12483,Hochtief AirPort,119,Germany
12484,Honda Aircraft Company,151,United States
12485,IBM Security,151,United States
12486,International Launch Services,151,United States
12487,Indra Sistemas,148,Spain
12488,Inmarsat,115,United Kingdom
12489,Intelcan Technosystems,150,Canada
12490,Intelsat,121,Luxembourg
12491,Iridium,151,United States
12492,Irkut Corporation,132,Russia
12493,ISRO Launch,81,India
12494,IVECO Defence Vehicles,140,Italy
12495,Joramco,62,Jordan
12496,Kaspersky,132,Russia
12497,Khrunichev Space Center,132,Russia
12498,L3Harris Training,151,United States
12499,Landspace,98,China
12500,LATéCOÈRE,118,France
12501,Leonardo Aerostructures,140,Italy
12502,Leonardo ATM,140,Italy
12503,Lockheed Martin Missiles,151,United States
12504,Lockheed Martin Training,151,United States
12505,Lockheed Martin ATM,151,United States
12506,Lufthansa Technik,119,Germany
12507,Magnetic MRO,107,Estonia
12508,VT MAK,151,United States
12509,MBDA,118,France
12510,Menzies Aviation,115,United Kingdom
12511,MHI Aero Engines,100,Japan
12512,MHI Launch Services,100,Japan
12513,Mikoyan,132,Russia
12514,Moog Simulation,151,United States
12515,MTU Maintenance,119,Germany
12516,Munich Airport,119,Germany
12517,NATS Holdings,115,United Kingdom
12518,NEC Space Technologies,100,Japan
12519,Northrop Grumman Defense Systems,151,United States
12520,Northrop Grumman Training,151,United States
12521,Northrop Grumman ATM,151,United States
12522,Northrop Grumman Launch,151,United States
12523,Northrop Grumman Armament,151,United States
12524,Orbital ATK,151,United States
12525,OneWeb,115,United Kingdom
12526,ORBCOMM,151,United States
12527,Otokar,70,Turkey
12528,Palo Alto Networks,151,United States
12529,Panhard Defense,118,France
12530,ADP Group (Paris Airports),118,France
12531,Parrot SA,118,France
12532,Piper Aircraft,151,United States
12533,Pratt & Whitney,151,United States
12534,Presagis,150,Canada
12535,Pratt & Whitney Canada,150,Canada
12536,Relativity Space,151,United States
12537,Aerojet Rocketdyne,151,United States
12538,Rocket Lab,151,United States
12539,Rocket Lab,151,United States
12540,Rolls-Royce Naval Marine,115,United Kingdom
12541,Rolls-Royce Services,115,United Kingdom
12542,Rolls-Royce Defense Services,115,United Kingdom
12543,Roscosmos,132,Russia
12544,Rostec,132,Russia
12545,Raytheon Technologies,151,United States
12546,Raytheon Training,151,United States
12547,Raytheon ATM,151,United States
12548,Raytheon Support,151,United States
12549,Saab UAV Solutions,114,Sweden
12550,Saab ATM,114,Sweden
12551,Safran Aircraft Engines,118,France
12552,Safran Services,118,France
12553,Schiphol Group,123,Netherlands
12554,Searidge Technologies,150,Canada
12555,Senior plc,115,United Kingdom
12556,Serco Defence,115,United Kingdom
12557,SES,121,Luxembourg
12558,SIA Engineering,94,Singapore
12559,Simthetiq,151,United States
12560,SKY Perfect JSAT,100,Japan
12561,Skysoft-ATM,144,Portugal
12562,SR Technics,124,Switzerland
12563,Stelia Aerospace,118,France
12564,ST Engineering Land Systems,94,Singapore
12565,ST Engineering Aerospace,94,Singapore
12566,ST Kinetics,94,Singapore
12567,Sukhoi Civil Aircraft,132,Russia
12568,Sukhoi,132,Russia
12569,Swissport,124,Switzerland
12570,Tatra Trucks,127,Czech Republic
12571,TAV Airports,70,Turkey
12572,Teijin Carbon,100,Japan
12573,Telesat,150,Canada
12574,Textron Aviation,151,United States
12575,Textron Systems,151,United States
12576,Textron Systems Training,151,United States
12577,Thales Air Defence,118,France
12578,Thales Drones,118,France
12579,Thales Group Canada,150,Canada
12580,Thales Cyber Security,118,France
12581,Thales ATM,118,France
12582,Thales Services,118,France
12583,Thuraya,71,United Arab Emirates
12584,Japan Airport Terminal,100,Japan
12585,Triumph Structures,151,United States
12586,Turkish Technic,70,Turkey
12587,TurkSat,70,Turkey
12588,United Aircraft Corporation,132,Russia
12589,United Launch Alliance,151,United States
12590,Universal Avionics,151,United States
12591,Vector Launch,151,United States
12592,Viasat,151,United States
12593,Victrex plc,115,United Kingdom
12594,VINCI Airports,118,France
12595,Williams International,151,United States
12596,"Woodward, Inc.",151,United States
12597,Yuneec International,98,China
12598,"Boeing Defense, Space & Security",151,United States
12599,CHS Inc.,151,United States
12600,CHS Inc.,151,United States
12601,Cooke Aquaculture,150,Canada
12602,Bayer Crop Science Biotech,119,Germany
12603,Corteva Agriscience Biotech,151,United States
12604,KWS SAAT Biotech,119,Germany
12605,Origin Agritech,98,China
12606,Syngenta Biotechnology,98,China
12607,Indigo Agriculture,151,United States
12608,Cargill,151,United States
12609,Louis Dreyfus Company,123,Netherlands
12610,Bauer Group,119,Germany
12611,Ecom Agroindustrial Corp.,124,Switzerland
12612,Land O'Lakes,151,United States
12613,Land O'Lakes,151,United States
12614,Nutrien,150,Canada
12615,Nutrien,150,Canada
12616,Land O'Lakes Seed,151,United States
12617,Yara International,113,Norway
12618,Yara International,113,Norway
12619,Bayer Crop Science,119,Germany
12620,Bayer Crop Science Seeds,119,Germany
12621,Corteva Agriscience,151,United States
12622,Corteva Agriscience Seeds,151,United States
12623,Nongwoo Bio,104,South Korea
12624,Sumitomo Chemical,100,Japan
12625,Syngenta Seeds,98,China
12626,Syngenta Group,98,China
12627,Glanbia Co-op,110,Ireland
12628,Bunge Limited,151,United States
12629,GROWMARK,151,United States
12630,Kubota Corporation,100,Japan
12631,Kubota Corporation,100,Japan
12632,Yanmar Holdings,100,Japan
12633,Andersons Inc.,151,United States
12634,Hancock Natural Resource Group,151,United States
12635,PhosAgro,132,Russia
12636,OCP Group,4,Morocco
12637,Sakata Seed Corporation,100,Japan
12638,Takii & Co.,100,Japan
12639,Olam Agri,94,Singapore
12640,ADM (Archer Daniels Midland),151,United States
12641,Valmont Industries,151,United States
12642,Valmont Industries (Valley Irrigation),151,United States
12643,Wilbur-Ellis,151,United States
12644,International Maize and Wheat Improvement Center (CIMMYT),157,Mexico
12645,Charoen Pokphand Foods,95,Thailand
12646,Indigo Agriculture,151,United States
12647,Wilmar International,94,Singapore
12648,EuroChem Group,124,Switzerland
12649,Mosaic Company,151,United States
12650,Meghmani Organics,81,India
12651,KWS SAAT SE & Co. KGaA,119,Germany
12652,Limagrain Group,118,France
12653,WhiteWave Foods (Danone),118,France
12654,Danone SA,118,France
12655,Orbia (Netafim),157,Mexico
12656,Cargill Protein,151,United States
12657,Cargill AgHorizons,151,United States
12658,K+S Group,119,Germany
12659,BASF Agricultural Solutions,119,Germany
12660,ICL Group,61,Israel
12661,COFCO Group,98,China
12662,ADM Trading,151,United States
12663,Archer Daniels Midland Trading,151,United States
12664,Bunge Global Trading,151,United States
12665,Cargill Agribusiness,151,United States
12666,COFCO International,98,China
12667,ETG Commodities,94,Singapore
12668,Louis Dreyfus Company Trading,123,Netherlands
12669,Olam International Trading,94,Singapore
12670,Sumitomo Corporation Irrigation,100,Japan
12671,Viterra,150,Canada
12672,Wilmar Trading,94,Singapore
12673,Toro Company,151,United States
12674,"INRAE (National Research Institute for Agriculture, Food and Environment)",118,France
12675,AgBiome,151,United States
12676,Agriculture and Agri-Food Canada,150,Canada
12677,Trimble Agriculture,151,United States
12678,AgriFORCE Growing Systems,150,Canada
12679,World Vegetable Center,105,Taiwan
12680,Benson Hill,151,United States
12681,Benson Hill,151,United States
12682,Bioceres Crop Solutions,173,Argentina
12683,Bowery Farming,151,United States
12684,Boyce Thompson Institute,151,United States
12685,International Potato Center (CIP),181,Peru
12686,Climate Corporation (Bayer),119,Germany
12687,Gamaya,124,Switzerland
12688,Grieg Seafood,113,Norway
12689,Lufa Farms,150,Canada
12690,Once Upon a Farm,151,United States
12691,Rostselmash,132,Russia
12692,Vion Food Group,123,Netherlands
12693,80 Acres Farms,151,United States
12694,ADAMA Agricultural Solutions,61,Israel
12695,Adecoagro,121,Luxembourg
12696,Archer Daniels Midland Processing,151,United States
12697,ADM Grain Logistics,151,United States
12698,Advanta Seeds (UPL),81,India
12699,AeroFarms,151,United States
12700,AGCO Corporation,151,United States
12701,AGCO Corporation (Massey Ferguson),151,United States
12702,AgEagle Aerial Systems,151,United States
12703,AgFirst Farm Credit Bank,151,United States
12704,AgJunction,151,United States
12705,Ag Leader Technology,151,United States
12706,Ag Processing Inc (AGP),151,United States
12707,AGP Grain Handling,151,United States
12708,Agrana Group,116,Austria
12709,AgReliant Genetics,151,United States
12710,AgResearch New Zealand,186,New Zealand
12711,AgReserves Inc.,151,United States
12712,Allianz Agricultural Insurance,119,Germany
12713,AgriCapital Corporation,185,Australia
12714,Agricool,118,France
12715,AgriInvest Europe,115,United Kingdom
12716,Agrilibrium,54,South Africa
12717,Agri Terra,54,South Africa
12718,Agrivi,115,United Kingdom
12719,Agrodrip,148,Spain
12720,AgroGeneration,118,France
12721,Agropur,150,Canada
12722,Alliance Grain Traders,150,Canada
12723,Agworld,185,Australia
12724,Agriculture Insurance Company of India,81,India
12725,Amazone Group,119,Germany
12726,American Farmland Company,151,United States
12727,American Vanguard Corporation,151,United States
12728,Associated Milk Producers Inc (AMPI),151,United States
12729,Amul (GCMMF),81,India
12730,Amul (GCMMF),81,India
12731,Amy's Kitchen,151,United States
12732,Andersons Trading,151,United States
12733,Annie's Homegrown (General Mills),151,United States
12734,AppHarvest,151,United States
12735,Applegate Farms (Hormel),151,United States
12736,Ardent Mills,151,United States
12737,Arla Foods amba,106,Denmark
12738,Arla Foods,106,Denmark
12739,USDA Agricultural Research Service,151,United States
12740,Austevoll Seafood,113,Norway
12741,AXA Agriculture Insurance,118,France
12742,Bakkafrost,200,Faroe Islands
12743,BASF Agricultural Solutions,119,Germany
12744,BASF Plant Science,119,Germany
12745,Bayer Crop Protection,119,Germany
12746,Bejo Zaden,123,Netherlands
12747,Bell Food Group,124,Switzerland
12748,Bio Suisse,124,Switzerland
12749,Bioworks,151,United States
12750,BNP Paribas Agriculture,118,France
12751,BrasilAgro,175,Brazil
12752,BRF S.A.,175,Brazil
12753,BRF S.A.,175,Brazil
12754,BrightFarms,151,United States
12755,Bucher Industries,124,Switzerland
12756,Bunge Food & Ingredients,151,United States
12757,Bunge Grain Logistics,151,United States
12758,Chinese Academy of Agricultural Sciences (CAAS),98,China
12759,California Dairies Inc.,151,United States
12760,Calyxt,151,United States
12761,Camanchaca,176,Chile
12762,Cargill Food Solutions,151,United States
12763,Cargill Grain & Oilseed Supply Chain,151,United States
12764,CBH Group,185,Australia
12765,Cermaq Group (Mitsubishi),113,Norway
12766,Certis USA,151,United States
12767,CF Industries Holdings,151,United States
12768,CGIAR Consortium,118,France
12769,Changfa Group,98,China
12770,CHS Inc. Trading,151,United States
12771,CHS Inc. Grain Marketing,151,United States
12772,CLAAS Group,119,Germany
12773,Clearwater Seafoods,150,Canada
12774,Clif Bar & Company,151,United States
12775,CNA Agriculture Insurance,151,United States
12776,CNH Industrial,115,United Kingdom
12777,CNH Industrial (Case IH),115,United Kingdom
12778,CNH Industrial Precision Technology,115,United Kingdom
12779,COFCO Logistics,98,China
12780,Commonwealth Bank Agribusiness,185,Australia
12781,Compo Expert,119,Germany
12782,Conagra Brands,151,United States
12783,Conservation Fund,151,United States
12784,Conservis Corporation,151,United States
12785,Coromandel International,81,India
12786,Corteva Agriscience,151,United States
12787,Charoen Pokphand Foods Aqua,95,Thailand
12788,Cranswick plc,115,United Kingdom
12789,Crop One Holdings,151,United States
12790,CropX,61,Israel
12791,CSIRO Agriculture and Food,185,Australia
12792,Dairy Crest (Saputo),115,United Kingdom
12793,Danone Dairy,118,France
12794,Darigold,151,United States
12795,Deutsche Bank Agribusiness,119,Germany
12796,Dean Foods,151,United States
12797,Deere & Company,151,United States
12798,John Deere,151,United States
12799,John Deere Operations Center,151,United States
12800,Dairy Farmers of America,151,United States
12801,Dairy Farmers of America,151,United States
12802,DLF Seeds & Science,106,Denmark
12803,Earthbound Farm,151,United States
12804,East-West Seed,123,Netherlands
12805,Eden Foods,151,United States
12806,Elgo Irrigation,61,Israel
12807,Embrapa (Brazilian Agricultural Research Corporation),175,Brazil
12808,Enza Zaden,123,Netherlands
12809,Evogene Ltd.,61,Israel
12810,Farm Credit System,151,United States
12811,Farmer's Edge,150,Canada
12812,Farmland Partners Inc.,151,United States
12813,AGCO (Fendt),151,United States
12814,First Milk Ltd,115,United Kingdom
12815,FMC Corporation,151,United States
12816,Fonterra Co-operative,186,New Zealand
12817,Fonterra Co-operative Group,186,New Zealand
12818,Freight Farms,151,United States
12819,FrieslandCampina,123,Netherlands
12820,FrieslandCampina,123,Netherlands
12821,AGCO Fuse Technologies,151,United States
12822,Gavilon Group (Marubeni),151,United States
12823,Gavilon Fertilizer,151,United States
12824,General Mills Organic,151,United States
12825,General Mills,151,United States
12826,Gladstone Land Corporation,151,United States
12827,Glencore Agriculture,124,Switzerland
12828,Gotham Greens,151,United States
12829,Graincorp Logistics,185,Australia
12830,Granular (Corteva),151,United States
12831,Green & Black's (Mondelez),115,United Kingdom
12832,Greenhouse Foods Canada,150,Canada
12833,GreenLight Biosciences,151,United States
12834,Grimme Group,119,Germany
12835,Haifa Group,61,Israel
12836,Hain Celestial Group,151,United States
12837,High Liner Foods,150,Canada
12838,Hormel Foods,151,United States
12839,Hormel Foods,151,United States
12840,Hunter Industries,151,United States
12841,Huon Aquaculture,185,Australia
12842,ICAR (Indian Council of Agricultural Research),81,India
12843,Indian Farmers Fertiliser Cooperative (IFFCO),81,India
12844,Inalca (Cremonini Group),140,Italy
12845,Inari Agriculture,151,United States
12846,Infarm,119,Germany
12847,ING Agricultural Finance,123,Netherlands
12848,Ingredion Incorporated,151,United States
12849,International Rice Research Institute (IRRI),93,Philippines
12850,Isagro S.p.A.,140,Italy
12851,Jain Irrigation Systems,81,India
12852,JBS S.A.,175,Brazil
12853,JBS S.A. Processing,175,Brazil
12854,John Innes Centre,115,United Kingdom
12855,Joyn Bio,151,United States
12856,Kalera,151,United States
12857,Kellogg's,151,United States
12858,Koch Fertilizer,151,United States
12859,Koppert Biological Systems,123,Netherlands
12860,Kraft Heinz Dairy,151,United States
12861,Kraft Heinz Company,151,United States
12862,Kuhn Group,118,France
12863,Kverneland Group,113,Norway
12864,Labeyrie Fine Foods,118,France
12865,Lactalis Group,118,France
12866,Calyx Agro (Louis Dreyfus),123,Netherlands
12867,Louis Dreyfus Company Ports & Logistics,123,Netherlands
12868,Lemken GmbH,119,Germany
12869,Lerøy Seafood Group,113,Norway
12870,Lindsay Corporation,151,United States
12871,Lindsay Corporation (Zimmatic),151,United States
12872,Lindsay Europe,118,France
12873,Longping High-Tech,98,China
12874,Macquarie Agricultural Funds,185,Australia
12875,Mahindra Tractors,81,India
12876,Marfrig Global Foods,175,Brazil
12877,Marrone Bio Innovations,151,United States
12878,Maruha Nichiro Corporation,100,Japan
12879,Meiji Holdings,100,Japan
12880,Mengniu Dairy,98,China
12881,Murray Goulburn Co-op,185,Australia
12882,Minerva Foods,175,Brazil
12883,Mondelez International,151,United States
12884,Morinaga Milk Industry,100,Japan
12885,Mowi ASA,113,Norway
12886,Muller Group,119,Germany
12887,Multiexport Foods,176,Chile
12888,Naandanjain Irrigation,81,India
12889,Nature's Path Foods,150,Canada
12890,Nelson Irrigation,151,United States
12891,Nestlé Dairy,124,Switzerland
12892,Nestlé SA,124,Switzerland
12893,Netafim,61,Israel
12894,New Hope Network,151,United States
12895,NH Foods,100,Japan
12896,Nippon Suisan Kaisha (Nissui),100,Japan
12897,Nufarm Limited,185,Australia
12898,Agrium (Nutrien),150,Canada
12899,Pacific Biosciences,151,United States
12900,Pairwise Plants,151,United States
12901,Parmalat (Lactalis),140,Italy
12902,Paterson Grain,150,Canada
12903,PepsiCo,151,United States
12904,Perdue Farms,151,United States
12905,Perdue Farms,151,United States
12906,Perrot Irrigation,119,Germany
12907,PICC Agriculture Insurance,98,China
12908,PI Industries,81,India
12909,Pilgrim's Pride,151,United States
12910,Pivot Bio,151,United States
12911,Plamil Foods,115,United Kingdom
12912,Plenty,151,United States
12913,Precision BioSciences,151,United States
12914,ProAg (Tokio Marine),151,United States
12915,QBE Insurance Group,185,Australia
12916,Rabobank,123,Netherlands
12917,Rain Bird Corporation,151,United States
12918,Rallis India (Tata),81,India
12919,Raven Industries,151,United States
12920,RCIS (Zurich),124,Switzerland
12921,Reinke Manufacturing,151,United States
12922,Richardson International,150,Canada
12923,Rijk Zwaan,123,Netherlands
12924,Rivulis Irrigation,61,Israel
12925,Rothamsted Research,115,United Kingdom
12926,Rural Funds Group,185,Australia
12927,SalMar ASA,113,Norway
12928,Sanderson Farms,151,United States
12929,Santander Agribusiness,148,Spain
12930,Saputo Inc.,150,Canada
12931,Saputo Inc.,150,Canada
12932,Schreiber Foods,151,United States
12933,Scoular Company,151,United States
12934,SDF Group (SAME Deutz-Fahr),140,Italy
12935,Seara Foods,175,Brazil
12936,Seminis (Bayer),119,Germany
12937,Sodrugestvo Group,132,Russia
12938,Sinofert Holdings,98,China
12939,Sipcam-Oxon Group,140,Italy
12940,SLC Agrícola,175,Brazil
12941,Smallhold,151,United States
12942,Smithfield Foods (WH Group),151,United States
12943,Smithfield Foods (WH Group),151,United States
12944,Sodiaal Group,118,France
12945,Sodiaal Cooperative,118,France
12946,Sompo Japan Agriculture Insurance,100,Japan
12947,FCStone Group (StoneX),151,United States
12948,Stonyfield Farm (Lactalis),118,France
12949,Sundrop Farms,185,Australia
12950,SunOpta,150,Canada
12951,Swiss Re Agriculture,124,Switzerland
12952,Syngenta Crop Protection,98,China
12953,Taranis,61,Israel
12954,Tassal Group,185,Australia
12955,Tessenderlo Group,117,Belgium
12956,Thai Union Group,95,Thailand
12957,Noble Group,99,Hong Kong
12958,TIAA-CREF Global Agriculture,151,United States
