Industry Name,Sector Name 
Land Acquisition,Real Estate
Real Estate Law,Real Estate
Facility Management,Real Estate
Mixed-Use Projects,Real Estate
Air Cargo,Transportation and Logistics
Marine Shipping,Transportation and Logistics
Rail Freight,Transportation and Logistics
Courier & Express Delivery,Transportation and Logistics
Trucking & Road Freight,Transportation and Logistics
Third-Party Logistics (3PL),Transportation and Logistics
Freight Forwarding,Transportation and Logistics
Warehousing & Distribution,Transportation and Logistics
Port Operations,Transportation and Logistics
Airport Operations,Transportation and Logistics
Public Bus Transport,Transportation and Logistics
Vehicle Leasing & Rental,Transportation and Logistics
Ride-Hailing & Taxi,Transportation and Logistics
Pipeline Transport,Transportation and Logistics
Rail Passenger Transport,Transportation and Logistics
Airline Passenger Services,Transportation and Logistics
Maritime Passenger Services,Transportation and Logistics
Bicycle & Micromobility Sharing,Transportation and Logistics
E-commerce Logistics,Transportation and Logistics
Supply Chain Tech & Software,Transportation and Logistics
Automotive Manufacturing,Manufacturing
Aerospace & Defense Manufacturing,Manufacturing
Electronics Manufacturing,Manufacturing
Industrial Machinery,Manufacturing
Chemical Manufacturing,Manufacturing
Pharmaceutical Manufacturing,Manufacturing
Food Processing,Manufacturing
Beverage Production,Manufacturing
Textile Manufacturing,Manufacturing
Apparel & Footwear,Manufacturing
Furniture Manufacturing,Manufacturing
Paper & Pulp,Manufacturing
Steel & Metal Products,Manufacturing
Plastic & Rubber Products,Manufacturing
Semiconductor Manufacturing,Manufacturing
Medical Devices,Manufacturing
Building Materials,Manufacturing
Consumer Goods,Manufacturing
Shipbuilding,Manufacturing
Renewable Energy Equipment,Manufacturing
Meat Processing,Food and Beverage
Dairy Products,Food and Beverage
Bakery & Confectionery,Food and Beverage
Fruit & Vegetable Processing,Food and Beverage
Oils & Fats,Food and Beverage
Frozen Foods,Food and Beverage
Snack Foods,Food and Beverage
Soft Drinks,Food and Beverage
Alcoholic Beverages,Food and Beverage
Coffee & Tea,Food and Beverage
Water & Beverages,Food and Beverage
Food Service & Restaurants,Food and Beverage
Seafood Processing,Food and Beverage
Grain & Cereal Products,Food and Beverage
Sugar & Sweeteners,Food and Beverage
Pet Food,Food and Beverage
Baby Food,Food and Beverage
Condiments & Sauces,Food and Beverage
Health & Functional Foods,Food and Beverage
Animal Feed,Food and Beverage
Film Production,Media and Entertainment
Television Broadcasting,Media and Entertainment
Music Labels,Media and Entertainment
Video Streaming,Media and Entertainment
Video Games,Media and Entertainment
Publishing,Media and Entertainment
Social Media,Media and Entertainment
Advertising & Marketing,Media and Entertainment
News Agencies,Media and Entertainment
Animation & VFX,Media and Entertainment
Talent Agencies,Media and Entertainment
Theme Parks,Media and Entertainment
Radio Broadcasting,Media and Entertainment
Podcasting,Media and Entertainment
Online Content,Media and Entertainment
Media Conglomerates,Media and Entertainment
Live Events,Media and Entertainment
Sports Leagues,Media and Entertainment
Sports Leagles,Media and Entertainment
Residential Construction,Construction and Engineering
Commercial Construction,Construction and Engineering
Civil Engineering,Construction and Engineering
Industrial Construction,Construction and Engineering
Construction Materials,Construction and Engineering
Heavy Equipment,Construction and Engineering
Construction Services,Construction and Engineering
Infrastructure Development,Construction and Engineering
Engineering Design,Construction and Engineering
Building Maintenance,Construction and Engineering
Demolition & Decommissioning,Construction and Engineering
Environmental Engineering,Construction and Engineering
Architectural Services,Construction and Engineering
Project Management,Construction and Engineering
Real Estate Development,Construction and Engineering
Specialty Contracting,Construction and Engineering
Surveying & Mapping,Construction and Engineering
Urban Planning,Construction and Engineering
Construction Software,Construction and Engineering
Green Building Consulting,Construction and Engineering
Higher Education (Universities),Education
K-12 Education (Private Schools),Education
Online Learning Platforms,Education
Educational Publishing,Education
Test Preparation Services,Education
Early Childhood Education,Education
Vocational Training,Education
Language Learning,Education
STEM Education,Education
Corporate Training,Education
Tutoring Services,Education
Learning Management Systems,Education
EdTech Hardware & Software,Education
Special Education Services,Education
Educational Toys & Games,Education
School Management Software,Education
Study Abroad Services,Education
Educational Consulting,Education
Open Courseware Providers,Education
Educational Nonprofits,Education
Airlines,Travel and Tourism
Hotels & Resorts,Travel and Tourism
Online Travel Agencies,Travel and Tourism
Cruise Lines,Travel and Tourism
Tour Operators,Travel and Tourism
Railway Operators,Travel and Tourism
Airport Operators,Travel and Tourism
Travel Insurance Providers,Travel and Tourism
Adventure Tourism,Travel and Tourism
Event Tourism,Travel and Tourism
Luxury Travel,Travel and Tourism
Travel Technology,Travel and Tourism
Tourism Boards,Travel and Tourism
Hospitality Management,Travel and Tourism
Restaurant Chains (Tourist-Focused),Travel and Tourism
Travel Media & Publishing,Travel and Tourism
Transportation Services (Buses/Shuttles),Travel and Tourism
Transportation Services (Buses/Shuttles,Travel and Tourism
Crop Production,Agriculture
Livestock Production,Agriculture
Dairy Farming,Agriculture
Aquaculture,Agriculture
Agricultural Equipment,Agriculture
Seeds & Genetics,Agriculture
Fertilizers & Nutrients,Agriculture
Pesticides & Herbicides,Agriculture
Irrigation Systems,Agriculture
Agricultural Biotechnology,Agriculture
Organic Farming,Agriculture
Agribusiness & Commodity Trading,Agriculture
Agricultural Cooperatives,Agriculture
Food Processing (Agricultural Output),Agriculture
Agricultural Real Estate,Agriculture
Farm Management Software,Agriculture
Agricultural Finance & Insurance,Agriculture
Sustainable Agriculture,Agriculture
Agricultural Research,Agriculture
Agricultural Logistics & Storage,Agriculture
Industrial Gases,Chemicals
Petrochemicals,Chemicals
Specialty Chemicals,Chemicals
Fertilizers & Agrochemicals,Chemicals
Paints & Coatings,Chemicals
Adhesives & Sealants,Chemicals
Synthetic Rubber,Chemicals
Plastic Resins,Chemicals
Dyes & Pigments,Chemicals
Industrial Cleaners,Chemicals
Water Treatment Chemicals,Chemicals
Textile Chemicals,Chemicals
Food Additives,Chemicals
Cosmetic Chemicals,Chemicals
Pharmaceutical Chemicals,Chemicals
Electronic Chemicals,Chemicals
Construction Chemicals,Chemicals
Lubricants & Greases,Chemicals
Explosives & Pyrotechnics,Chemicals
Chemical Distribution,Chemicals
Commercial Aircraft Manufacturing,Aerospace and Defense
Military Aircraft Manufacturing,Aerospace and Defense
Spacecraft & Satellite Manufacturing,Aerospace and Defense
Defense Electronics,Aerospace and Defense
Missile & Defense Systems,Aerospace and Defense
Military Vehicles & Tanks,Aerospace and Defense
Naval Systems & Shipbuilding,Aerospace and Defense
Unmanned Aerial Vehicles (UAVs),Aerospace and Defense
Aircraft Engines & Components,Aerospace and Defense
Avionics Systems,Aerospace and Defense
Defense IT & Cybersecurity,Aerospace and Defense
Aerospace Structures & Composites,Aerospace and Defense
Training & Simulation Systems,Aerospace and Defense
MRO Services,Aerospace and Defense
Airport Infrastructure & Services,Aerospace and Defense
Air Traffic Management Systems,Aerospace and Defense
Space Launch Services,Aerospace and Defense
Satellite Services,Aerospace and Defense
Defense Logistics & Support,Aerospace and Defense
Weapons & Ammunition,Aerospace and Defense
Management Consulting,Professional Services
IT Consulting,Professional Services
Accounting & Audit,Professional Services
Legal Services,Professional Services
Human Resources Consulting,Professional Services
Marketing & Advertising,Professional Services
Engineering Consulting,Professional Services
Environmental Consulting,Professional Services
Risk & Compliance Consulting,Professional Services
Economic Consulting,Professional Services
Real Estate Consulting,Professional Services
Healthcare Consulting,Professional Services
Education Consulting,Professional Services
Logistics & Supply Chain Consulting,Professional Services
Executive Search,Professional Services
Market Research,Professional Services
Public Relations,Professional Services
Architecture & Design Services,Professional Services
Event Management,Professional Services
Outsourcing & Staffing,Professional Services
